X,Y,Z
0.000000000000000000e+00,2.000000238418579102e+00,2.000000000000000000e+00
0.000000000000000000e+00,2.000000238418579102e+00,2.800000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,6.800000000000000000e+01
0.000000000000000000e+00,6.800000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,6.800000000000000000e+01,6.800000000000000000e+01
2.462323755025863647e-02,1.687131881713867188e+00,2.000000000000000000e+00
2.462323755025863647e-02,1.687131881713867188e+00,2.800000000000000000e+01
2.462323755025863647e-02,1.690983772277832031e+00,2.804894447326660156e+01
2.462323755025863647e-02,1.702442765235900879e+00,2.809668159484863281e+01
2.462323755025863647e-02,1.721233129501342773e+00,2.814203834533691406e+01
2.462323755025863647e-02,1.746881723403930664e+00,2.818389892578125000e+01
2.462323755025863647e-02,1.778766512870788574e+00,2.822123146057128906e+01
2.462323755025863647e-02,1.816101312637329102e+00,2.825311660766601562e+01
2.462323755025863647e-02,1.857958793640136719e+00,2.827876853942871094e+01
2.462323755025863647e-02,1.903317928314208984e+00,2.829755592346191406e+01
2.462323755025863647e-02,1.951057434082031250e+00,2.830901718139648438e+01
2.462323755025863647e-02,2.000000238418579102e+00,1.687131166458129883e+00
2.462323755025863647e-02,2.000000238418579102e+00,2.831287002563476562e+01
2.462323755025863647e-02,4.168712997436523438e+01,2.831287002563476562e+01
2.462323755025863647e-02,4.168712997436523438e+01,6.800000000000000000e+01
2.462323755025863647e-02,4.200000000000000000e+01,6.831286621093750000e+01
2.462323755025863647e-02,6.800000000000000000e+01,1.687131166458129883e+00
2.462323755025863647e-02,6.800000000000000000e+01,6.831286621093750000e+01
2.462323755025863647e-02,6.804894256591796875e+01,1.690982937812805176e+00
2.462323755025863647e-02,6.804894256591796875e+01,6.830901336669921875e+01
2.462323755025863647e-02,6.809667968750000000e+01,1.702443957328796387e+00
2.462323755025863647e-02,6.809667968750000000e+01,6.829755401611328125e+01
2.462323755025863647e-02,6.814203643798828125e+01,1.721231698989868164e+00
2.462323755025863647e-02,6.814203643798828125e+01,6.827877044677734375e+01
2.462323755025863647e-02,6.818389892578125000e+01,1.746883749961853027e+00
2.462323755025863647e-02,6.818389892578125000e+01,6.825311279296875000e+01
2.462323755025863647e-02,6.822122955322265625e+01,1.778768301010131836e+00
2.462323755025863647e-02,6.822122955322265625e+01,6.822123718261718750e+01
2.462323755025863647e-02,6.825311279296875000e+01,1.816100239753723145e+00
2.462323755025863647e-02,6.825311279296875000e+01,6.818389892578125000e+01
2.462323755025863647e-02,6.827877044677734375e+01,1.857960462570190430e+00
2.462323755025863647e-02,6.827877044677734375e+01,6.814204406738281250e+01
2.462323755025863647e-02,6.829755401611328125e+01,1.903318166732788086e+00
2.462323755025863647e-02,6.829755401611328125e+01,6.809667968750000000e+01
2.462323755025863647e-02,6.830901336669921875e+01,1.951056480407714844e+00
2.462323755025863647e-02,6.830901336669921875e+01,6.804895019531250000e+01
2.462323755025863647e-02,6.831286621093750000e+01,2.000000000000000000e+00
2.462323755025863647e-02,6.831286621093750000e+01,6.800000000000000000e+01
4.894286394119262695e-02,1.687131881713867188e+00,1.690982937812805176e+00
4.894286394119262695e-02,4.168712997436523438e+01,6.830901336669921875e+01
9.788665920495986938e-02,1.381967186927795410e+00,2.000000000000000000e+00
9.788665920495986938e-02,1.381967186927795410e+00,2.800000000000000000e+01
9.788665920495986938e-02,1.389574289321899414e+00,2.809668159484863281e+01
9.788665920495986938e-02,1.412212848663330078e+00,2.819098281860351562e+01
9.788665920495986938e-02,1.449327945709228516e+00,2.828058242797851562e+01
9.788665920495986938e-02,1.499999284744262695e+00,2.836326980590820312e+01
9.788665920495986938e-02,1.562982797622680664e+00,2.843701744079589844e+01
9.788665920495986938e-02,1.636728644371032715e+00,2.850000000000000000e+01
9.788665920495986938e-02,1.719418883323669434e+00,2.855067062377929688e+01
9.788665920495986938e-02,1.809015870094299316e+00,2.858778381347656250e+01
9.788665920495986938e-02,1.903317928314208984e+00,2.861042594909667969e+01
9.788665920495986938e-02,2.000000238418579102e+00,1.381965994834899902e+00
9.788665920495986938e-02,2.000000238418579102e+00,2.861803436279296875e+01
9.788665920495986938e-02,4.138196563720703125e+01,2.861803436279296875e+01
9.788665920495986938e-02,4.138196563720703125e+01,6.800000000000000000e+01
9.788665920495986938e-02,4.200000000000000000e+01,6.861803436279296875e+01
9.788665920495986938e-02,6.800000000000000000e+01,1.381965994834899902e+00
9.788665920495986938e-02,6.800000000000000000e+01,6.861803436279296875e+01
9.788665920495986938e-02,6.809667968750000000e+01,1.389575123786926270e+00
9.788665920495986938e-02,6.809667968750000000e+01,6.861042022705078125e+01
9.788665920495986938e-02,6.819097900390625000e+01,1.412214756011962891e+00
9.788665920495986938e-02,6.819097900390625000e+01,6.858778381347656250e+01
9.788665920495986938e-02,6.828057861328125000e+01,1.449327707290649414e+00
9.788665920495986938e-02,6.828057861328125000e+01,6.855066680908203125e+01
9.788665920495986938e-02,6.836327362060546875e+01,1.500000000000000000e+00
9.788665920495986938e-02,6.836327362060546875e+01,6.850000000000000000e+01
9.788665920495986938e-02,6.843701934814453125e+01,1.562983989715576172e+00
9.788665920495986938e-02,6.843701934814453125e+01,6.843701934814453125e+01
9.788665920495986938e-02,6.850000000000000000e+01,1.636728763580322266e+00
9.788665920495986938e-02,6.850000000000000000e+01,6.836327362060546875e+01
9.788665920495986938e-02,6.855067443847656250e+01,1.719418406486511230e+00
9.788665920495986938e-02,6.855067443847656250e+01,6.828058624267578125e+01
9.788665920495986938e-02,6.858778381347656250e+01,1.809017062187194824e+00
9.788665920495986938e-02,6.858778381347656250e+01,6.819098663330078125e+01
9.788665920495986938e-02,6.861042785644531250e+01,1.903318166732788086e+00
9.788665920495986938e-02,6.861042785644531250e+01,6.809667968750000000e+01
9.788665920495986938e-02,6.861803436279296875e+01,2.000000000000000000e+00
9.788665920495986938e-02,6.861803436279296875e+01,6.800000000000000000e+01
1.213047653436660767e-01,1.381967186927795410e+00,1.702443957328796387e+00
1.213047653436660767e-01,1.687131881713867188e+00,1.389575123786926270e+00
1.213047653436660767e-01,4.138196563720703125e+01,6.829755401611328125e+01
1.213047653436660767e-01,4.168712997436523438e+01,6.861042022705078125e+01
1.909825950860977173e-01,1.381967186927795410e+00,1.412214756011962891e+00
1.909825950860977173e-01,4.138196563720703125e+01,6.858778381347656250e+01
2.179862856864929199e-01,1.092020392417907715e+00,2.000000000000000000e+00
2.179862856864929199e-01,1.092020392417907715e+00,2.800000000000000000e+01
2.179862856864929199e-01,1.103196263313293457e+00,2.814203834533691406e+01
2.179862856864929199e-01,1.136459350585937500e+00,2.828058242797851562e+01
2.179862856864929199e-01,1.190982818603515625e+00,2.841221618652343750e+01
2.179862856864929199e-01,1.265429019927978516e+00,2.853369712829589844e+01
2.179862856864929199e-01,1.357961416244506836e+00,2.864204025268554688e+01
2.179862856864929199e-01,1.466300368309020996e+00,2.873457145690917969e+01
2.179862856864929199e-01,1.587785720825195312e+00,2.880901718139648438e+01
2.179862856864929199e-01,1.719418883323669434e+00,2.886354255676269531e+01
2.179862856864929199e-01,1.857958793640136719e+00,2.889680290222167969e+01
2.179862856864929199e-01,2.000000238418579102e+00,1.092019081115722656e+00
2.179862856864929199e-01,2.000000238418579102e+00,2.890797996520996094e+01
2.179862856864929199e-01,4.109201812744140625e+01,2.890797996520996094e+01
2.179862856864929199e-01,4.109201812744140625e+01,6.800000000000000000e+01
2.179862856864929199e-01,4.200000000000000000e+01,6.890798187255859375e+01
2.179862856864929199e-01,6.800000000000000000e+01,1.092019081115722656e+00
2.179862856864929199e-01,6.800000000000000000e+01,6.890798187255859375e+01
2.179862856864929199e-01,6.814203643798828125e+01,1.103197813034057617e+00
2.179862856864929199e-01,6.814203643798828125e+01,6.889679718017578125e+01
2.179862856864929199e-01,6.828057861328125000e+01,1.136458754539489746e+00
2.179862856864929199e-01,6.828057861328125000e+01,6.886354064941406250e+01
2.179862856864929199e-01,6.841221618652343750e+01,1.190982937812805176e+00
2.179862856864929199e-01,6.841221618652343750e+01,6.880902099609375000e+01
2.179862856864929199e-01,6.853369903564453125e+01,1.265427947044372559e+00
2.179862856864929199e-01,6.853369903564453125e+01,6.873457336425781250e+01
2.179862856864929199e-01,6.864203643798828125e+01,1.357960462570190430e+00
2.179862856864929199e-01,6.864203643798828125e+01,6.864204406738281250e+01
2.179862856864929199e-01,6.873457336425781250e+01,1.466302156448364258e+00
2.179862856864929199e-01,6.873457336425781250e+01,6.853369903564453125e+01
2.179862856864929199e-01,6.880901336669921875e+01,1.587785243988037109e+00
2.179862856864929199e-01,6.880901336669921875e+01,6.841221618652343750e+01
2.179862856864929199e-01,6.886354064941406250e+01,1.719418406486511230e+00
2.179862856864929199e-01,6.886354064941406250e+01,6.828058624267578125e+01
2.179862856864929199e-01,6.889680480957031250e+01,1.857960462570190430e+00
2.179862856864929199e-01,6.889680480957031250e+01,6.814204406738281250e+01
2.179862856864929199e-01,6.890798187255859375e+01,2.000000000000000000e+00
2.179862856864929199e-01,6.890798187255859375e+01,6.800000000000000000e+01
2.399263978004455566e-01,1.092020392417907715e+00,1.721231698989868164e+00
2.399263978004455566e-01,1.687131881713867188e+00,1.103197813034057617e+00
2.399263978004455566e-01,4.109201812744140625e+01,6.827877044677734375e+01
2.399263978004455566e-01,4.168712997436523438e+01,6.889679718017578125e+01
3.052046597003936768e-01,1.092020392417907715e+00,1.449327707290649414e+00
3.052046597003936768e-01,1.381967186927795410e+00,1.136458754539489746e+00
3.052046597003936768e-01,4.109201812744140625e+01,6.855066680908203125e+01
3.052046597003936768e-01,4.138196563720703125e+01,6.886354064941406250e+01
3.819661140441894531e-01,8.244290947914123535e-01,2.000000000000000000e+00
3.819661140441894531e-01,8.244290947914123535e-01,2.800000000000000000e+01
3.819661140441894531e-01,8.389018774032592773e-01,2.818389892578125000e+01
3.819661140441894531e-01,8.819662332534790039e-01,2.836326980590820312e+01
3.819661140441894531e-01,9.525604248046875000e-01,2.853369712829589844e+01
3.819661140441894531e-01,1.048944950103759766e+00,2.869098281860351562e+01
3.819661140441894531e-01,1.168746471405029297e+00,2.883125495910644531e+01
3.819661140441894531e-01,1.309014797210693359e+00,2.895105552673339844e+01
3.819661140441894531e-01,1.466300368309020996e+00,2.904744148254394531e+01
3.819661140441894531e-01,1.636728644371032715e+00,2.911803245544433594e+01
3.819661140441894531e-01,1.816101312637329102e+00,2.916109657287597656e+01
3.819661140441894531e-01,2.000000238418579102e+00,8.244295120239257812e-01
3.819661140441894531e-01,2.000000238418579102e+00,2.917556953430175781e+01
3.819661140441894531e-01,4.082442855834960938e+01,2.917556953430175781e+01
3.819661140441894531e-01,4.082442855834960938e+01,6.800000000000000000e+01
3.819661140441894531e-01,4.200000000000000000e+01,6.917556762695312500e+01
3.819661140441894531e-01,6.800000000000000000e+01,8.244295120239257812e-01
3.819661140441894531e-01,6.800000000000000000e+01,6.917556762695312500e+01
3.819661140441894531e-01,6.818389892578125000e+01,8.389027118682861328e-01
3.819661140441894531e-01,6.818389892578125000e+01,6.916109466552734375e+01
3.819661140441894531e-01,6.836327362060546875e+01,8.819660544395446777e-01
3.819661140441894531e-01,6.836327362060546875e+01,6.911802673339843750e+01
3.819661140441894531e-01,6.853369903564453125e+01,9.525589942932128906e-01
3.819661140441894531e-01,6.853369903564453125e+01,6.904744720458984375e+01
3.819661140441894531e-01,6.869097900390625000e+01,1.048943519592285156e+00
3.819661140441894531e-01,6.869097900390625000e+01,6.895105743408203125e+01
3.819661140441894531e-01,6.883125305175781250e+01,1.168746113777160645e+00
3.819661140441894531e-01,6.883125305175781250e+01,6.883126068115234375e+01
3.819661140441894531e-01,6.895105743408203125e+01,1.309016942977905273e+00
3.819661140441894531e-01,6.895105743408203125e+01,6.869098663330078125e+01
3.819661140441894531e-01,6.904743957519531250e+01,1.466302156448364258e+00
3.819661140441894531e-01,6.904743957519531250e+01,6.853369903564453125e+01
3.819661140441894531e-01,6.911803436279296875e+01,1.636728763580322266e+00
3.819661140441894531e-01,6.911803436279296875e+01,6.836327362060546875e+01
3.819661140441894531e-01,6.916109466552734375e+01,1.816100239753723145e+00
3.819661140441894531e-01,6.916109466552734375e+01,6.818389892578125000e+01
3.819661140441894531e-01,6.917556762695312500e+01,2.000000000000000000e+00
3.819661140441894531e-01,6.917556762695312500e+01,6.800000000000000000e+01
4.018861651420593262e-01,8.244290947914123535e-01,1.746883749961853027e+00
4.018861651420593262e-01,1.687131881713867188e+00,8.389027118682861328e-01
4.018861651420593262e-01,4.082442855834960938e+01,6.825311279296875000e+01
4.018861651420593262e-01,4.168712997436523438e+01,6.916109466552734375e+01
4.122145473957061768e-01,1.092020392417907715e+00,1.190982937812805176e+00
4.122145473957061768e-01,4.109201812744140625e+01,6.880902099609375000e+01
4.611583352088928223e-01,8.244290947914123535e-01,1.500000000000000000e+00
4.611583352088928223e-01,1.381967186927795410e+00,8.819660544395446777e-01
4.611583352088928223e-01,4.082442855834960938e+01,6.850000000000000000e+01
4.611583352088928223e-01,4.138196563720703125e+01,6.911802673339843750e+01
5.583204030990600586e-01,8.244290947914123535e-01,1.265427947044372559e+00
5.583204030990600586e-01,1.092020392417907715e+00,9.525589942932128906e-01
5.583204030990600586e-01,4.082442855834960938e+01,6.873457336425781250e+01
5.583204030990600586e-01,4.109201812744140625e+01,6.904744720458984375e+01
5.857860445976257324e-01,5.857869982719421387e-01,2.000000000000000000e+00
5.857860445976257324e-01,5.857869982719421387e-01,2.800000000000000000e+01
5.857860445976257324e-01,6.031990051269531250e-01,2.822123146057128906e+01
5.857860445976257324e-01,6.550028920173645020e-01,2.843701744079589844e+01
5.857860445976257324e-01,7.399246096611022949e-01,2.864204025268554688e+01
5.857860445976257324e-01,8.558779954910278320e-01,2.883125495910644531e+01
5.857860445976257324e-01,9.999983310699462891e-01,2.900000000000000000e+01
5.857860445976257324e-01,1.168746471405029297e+00,2.914412307739257812e+01
5.857860445976257324e-01,1.357961416244506836e+00,2.926007270812988281e+01
5.857860445976257324e-01,1.562982797622680664e+00,2.934499549865722656e+01
5.857860445976257324e-01,1.778766512870788574e+00,2.939680290222167969e+01
5.857860445976257324e-01,2.000000238418579102e+00,5.857864022254943848e-01
5.857860445976257324e-01,2.000000238418579102e+00,2.941421508789062500e+01
5.857860445976257324e-01,4.058578491210937500e+01,2.941421508789062500e+01
5.857860445976257324e-01,4.058578491210937500e+01,6.800000000000000000e+01
5.857860445976257324e-01,4.200000000000000000e+01,6.941421508789062500e+01
5.857860445976257324e-01,6.800000000000000000e+01,5.857864022254943848e-01
5.857860445976257324e-01,6.800000000000000000e+01,6.941421508789062500e+01
5.857860445976257324e-01,6.822122955322265625e+01,6.031977534294128418e-01
5.857860445976257324e-01,6.822122955322265625e+01,6.939680480957031250e+01
5.857860445976257324e-01,6.843701934814453125e+01,6.550029516220092773e-01
5.857860445976257324e-01,6.843701934814453125e+01,6.934500122070312500e+01
5.857860445976257324e-01,6.864203643798828125e+01,7.399264574050903320e-01
5.857860445976257324e-01,6.864203643798828125e+01,6.926007843017578125e+01
5.857860445976257324e-01,6.883125305175781250e+01,8.558771610260009766e-01
5.857860445976257324e-01,6.883125305175781250e+01,6.914411926269531250e+01
5.857860445976257324e-01,6.900000000000000000e+01,1.000000000000000000e+00
5.857860445976257324e-01,6.900000000000000000e+01,6.900000000000000000e+01
5.857860445976257324e-01,6.914411926269531250e+01,1.168746113777160645e+00
5.857860445976257324e-01,6.914411926269531250e+01,6.883126068115234375e+01
5.857860445976257324e-01,6.926007080078125000e+01,1.357960462570190430e+00
5.857860445976257324e-01,6.926007080078125000e+01,6.864204406738281250e+01
5.857860445976257324e-01,6.934499359130859375e+01,1.562983989715576172e+00
5.857860445976257324e-01,6.934499359130859375e+01,6.843701934814453125e+01
5.857860445976257324e-01,6.939680480957031250e+01,1.778768301010131836e+00
5.857860445976257324e-01,6.939680480957031250e+01,6.822123718261718750e+01
5.857860445976257324e-01,6.941421508789062500e+01,2.000000000000000000e+00
5.857860445976257324e-01,6.941421508789062500e+01,6.800000000000000000e+01
6.031971573829650879e-01,5.857869982719421387e-01,1.778768301010131836e+00
6.031971573829650879e-01,1.687131881713867188e+00,6.031977534294128418e-01
6.031971573829650879e-01,4.058578491210937500e+01,6.822123718261718750e+01
6.031971573829650879e-01,4.168712997436523438e+01,6.939680480957031250e+01
6.550028920173645020e-01,5.857869982719421387e-01,1.562983989715576172e+00
6.550028920173645020e-01,1.381967186927795410e+00,6.550029516220092773e-01
6.550028920173645020e-01,4.058578491210937500e+01,6.843701934814453125e+01
6.550028920173645020e-01,4.138196563720703125e+01,6.934500122070312500e+01
6.909826993942260742e-01,8.244290947914123535e-01,1.048943519592285156e+00
6.909826993942260742e-01,4.082442855834960938e+01,6.895105743408203125e+01
7.399264574050903320e-01,5.857869982719421387e-01,1.357960462570190430e+00
7.399264574050903320e-01,1.092020392417907715e+00,7.399264574050903320e-01
7.399264574050903320e-01,4.058578491210937500e+01,6.864204406738281250e+01
7.399264574050903320e-01,4.109201812744140625e+01,6.926007843017578125e+01
8.244290947914123535e-01,3.819651901721954346e-01,2.000000000000000000e+00
8.244290947914123535e-01,3.819651901721954346e-01,2.800000000000000000e+01
8.244290947914123535e-01,4.018880426883697510e-01,2.825311660766601562e+01
8.244290947914123535e-01,4.611574113368988037e-01,2.850000000000000000e+01
8.244290947914123535e-01,5.583204030990600586e-01,2.873457145690917969e+01
8.244290947914123535e-01,6.909817457199096680e-01,2.895105552673339844e+01
8.244290947914123535e-01,8.558779954910278320e-01,2.914412307739257812e+01
8.244290947914123535e-01,1.048944950103759766e+00,2.930901718139648438e+01
8.244290947914123535e-01,1.265429019927978516e+00,2.944167900085449219e+01
8.244290947914123535e-01,1.499999284744262695e+00,2.953884124755859375e+01
8.244290947914123535e-01,1.746881723403930664e+00,2.959811401367187500e+01
8.244290947914123535e-01,2.000000238418579102e+00,3.819659948348999023e-01
8.244290947914123535e-01,2.000000238418579102e+00,2.961803436279296875e+01
8.244290947914123535e-01,4.038196563720703125e+01,2.961803436279296875e+01
8.244290947914123535e-01,4.038196563720703125e+01,6.800000000000000000e+01
8.244290947914123535e-01,4.200000000000000000e+01,6.961803436279296875e+01
8.244290947914123535e-01,6.800000000000000000e+01,3.819659948348999023e-01
8.244290947914123535e-01,6.800000000000000000e+01,6.961803436279296875e+01
8.244290947914123535e-01,6.825311279296875000e+01,4.018867015838623047e-01
8.244290947914123535e-01,6.825311279296875000e+01,6.959811401367187500e+01
8.244290947914123535e-01,6.850000000000000000e+01,4.611582159996032715e-01
8.244290947914123535e-01,6.850000000000000000e+01,6.953884124755859375e+01
8.244290947914123535e-01,6.873457336425781250e+01,5.583211183547973633e-01
8.244290947914123535e-01,6.873457336425781250e+01,6.944167327880859375e+01
8.244290947914123535e-01,6.895105743408203125e+01,6.909829974174499512e-01
8.244290947914123535e-01,6.895105743408203125e+01,6.930902099609375000e+01
8.244290947914123535e-01,6.914411926269531250e+01,8.558771610260009766e-01
8.244290947914123535e-01,6.914411926269531250e+01,6.914411926269531250e+01
8.244290947914123535e-01,6.930901336669921875e+01,1.048943519592285156e+00
8.244290947914123535e-01,6.930901336669921875e+01,6.895105743408203125e+01
8.244290947914123535e-01,6.944168090820312500e+01,1.265427947044372559e+00
8.244290947914123535e-01,6.944168090820312500e+01,6.873457336425781250e+01
8.244290947914123535e-01,6.953884124755859375e+01,1.500000000000000000e+00
8.244290947914123535e-01,6.953884124755859375e+01,6.850000000000000000e+01
8.244290947914123535e-01,6.959811401367187500e+01,1.746883749961853027e+00
8.244290947914123535e-01,6.959811401367187500e+01,6.825311279296875000e+01
8.244290947914123535e-01,6.961803436279296875e+01,2.000000000000000000e+00
8.244290947914123535e-01,6.961803436279296875e+01,6.800000000000000000e+01
8.389027714729309082e-01,3.819651901721954346e-01,1.816100239753723145e+00
8.389027714729309082e-01,1.687131881713867188e+00,4.018867015838623047e-01
8.389027714729309082e-01,4.038196563720703125e+01,6.818389892578125000e+01
8.389027714729309082e-01,4.168712997436523438e+01,6.959811401367187500e+01
8.558770418167114258e-01,5.857869982719421387e-01,1.168746113777160645e+00
8.558770418167114258e-01,8.244290947914123535e-01,8.558771610260009766e-01
8.558770418167114258e-01,4.058578491210937500e+01,6.883126068115234375e+01
8.558770418167114258e-01,4.082442855834960938e+01,6.914411926269531250e+01
